x,y_aim,y_prd,diff
0,0,0.07594019789,0.07594019789
0.0625,0.00390625,0.09011582641,0.08620957641
0.125,0.015625,0.1080674458,0.09244244575
0.1875,0.03515625,0.1275398851,0.09238363506
0.25,0.0625,0.1408020474,0.07830204738
0.3125,0.09765625,0.1662663687,0.06861011868
0.375,0.140625,0.1963359615,0.05571096149
0.4375,0.19140625,0.2318436981,0.04043744805
0.5,0.25,0.2737730771,0.02377307711
0.5625,0.31640625,0.3221815368,0.00577528677
0.625,0.390625,0.3788095455,-0.01181545453
0.6875,0.47265625,0.4453907358,-0.02726551416
0.75,0.5625,0.5236745218,-0.0388254782
0.8125,0.66015625,0.6157178017,-0.04443844827
0.875,0.765625,0.7239390033,-0.04168599671
0.9375,0.87890625,0.8511816274,-0.02772462261
1,1,1.000788961,0.0007889608326
1.0625,1.12890625,1.176691921,0.04778567084
1.125,1.265625,1.363141388,0.09751638822
1.1875,1.41015625,1.478893168,0.06873691846
1.25,1.5625,1.604474065,0.04197406456
1.3125,1.72265625,1.74071872,0.01806247042
1.375,1.890625,1.888532654,-0.002092345868
1.4375,2.06640625,2.048898276,-0.01750797374
1.5,2.25,2.222881419,-0.02711858079
1.5625,2.44140625,2.39556073,-0.04584552043
1.625,2.640625,2.581612596,-0.0590124036
1.6875,2.84765625,2.782114231,-0.06554201861
1.75,3.0625,2.99818788,-0.06431212034
1.8125,3.28515625,3.231042946,-0.0541133042
1.875,3.515625,3.481982763,-0.03364223687
1.9375,3.75390625,3.752411889,-0.00149436129
2,4,4.043843965,0.04384396488
2.0625,4.25390625,4.357910191,0.1040039415
2.125,4.515625,4.696368456,0.1807434558
2.1875,4.78515625,4.979366124,0.1942098739
2.25,5.0625,5.207343483,0.1448434828
2.3125,5.34765625,5.445758652,0.0981024015
2.375,5.640625,5.695089519,0.05446451891
2.4375,5.94140625,5.955835854,0.01442960392
2.5,6.25,6.228520307,-0.02147969297
2.5625,6.56640625,6.513689458,-0.05271679204
2.625,6.890625,6.811914911,-0.0787100887
2.6875,7.22265625,7.123794442,-0.09886180782
2.75,7.5625,7.449953195,-0.1125468054
2.8125,7.91015625,7.791044934,-0.1191113158
2.875,8.265625,8.147753359,-0.1178716408
2.9375,8.62890625,8.52079347,-0.1081127797
3,9,8.910913004,-0.08908699574
3.0625,9.37890625,9.318893932,-0.06001231766
3.125,9.765625,9.745554028,-0.02007097195
3.1875,10.16015625,10.19174851,0.03159225613
3.25,10.5625,10.65837174,0.09587173681
3.3125,10.97265625,11.14635904,0.1737027886
3.375,11.390625,11.65668855,0.2660635528
3.4375,11.81640625,12.1903832,0.3739769548
3.5,12.25,12.58574818,0.3357481822
3.5625,12.69140625,12.9565683,0.2651620462
3.625,13.140625,13.33831407,0.1976890664
3.6875,13.59765625,13.7313074,0.1336511508
3.75,14.0625,14.13587969,0.07337969179
3.8125,14.53515625,14.5523721,0.01721584603
3.875,15.015625,14.98113582,-0.03448917835
3.9375,15.50390625,15.42253242,-0.08137382534
4,16,15.87693411,-0.1230658862
4.0625,16.50390625,16.34472406,-0.1591821858
4.125,17.015625,16.82629674,-0.189328259
4.1875,17.53515625,17.32205823,-0.2130980186
4.25,18.0625,17.83242659,-0.2300734125
4.3125,18.59765625,18.35783218,-0.2398240716
4.375,19.140625,18.89871805,-0.2419069463
4.4375,19.69140625,19.45554032,-0.2358659333
4.5,20.25,20.02876851,-0.221231491
4.5625,20.81640625,20.61888601,-0.1975202434
4.625,21.390625,21.22639043,-0.1642345725
4.6875,21.97265625,21.85179405,-0.1208621989
4.75,22.5625,22.49562425,-0.06687574946
4.8125,23.16015625,23.15842394,-0.001732312903
4.875,23.765625,23.84075202,0.07512701814
4.9375,24.37890625,24.54318387,0.1642776184
5,25,25.26631182,0.2663118151
5.0625,25.62890625,26.01074564,0.3818393877
5.125,26.265625,26.77711308,0.5114880816
5.1875,26.91015625,27.56606039,0.6559041379
5.25,27.5625,28.37825284,0.8157528384
5.3125,28.22265625,29.21437532,0.9917190661
5.375,28.890625,30.07513288,1.184507883
5.4375,29.56640625,30.96125138,1.394845126
5.5,30.25,31.87347802,1.623478015
5.5625,30.94140625,32.81258204,1.871175788
