i,diff
0,145.73222729528877
8,124.88302318425264
16,112.35884966199437
24,90.884410439655269
32,68.193106690890886
40,40.354206086811452
48,19.076489203379303
56,7.6786098077192246
64,2.806631232487625
72,0.94564740534837122
80,0.2942693336982129
88,0.08446330722725312
96,0.022326656158873991
104,0.0054462208914746145
112,0.001235984825148948
120,0.00026518440036334395
128,5.4843803934744564e-05
136,1.1045857135407027e-05
144,2.175059524458741e-06
152,4.206338875390984e-07
160,8.047498331803942e-08
168,1.5366014831835536e-08
176,2.9487248738895138e-09
184,5.705126107066734e-10
192,1.1133395418712219e-10
200,2.1895690754140639e-11
208,4.3346692851116595e-12
216,8.6297468708180354e-13
224,1.7265001440959934e-13
232,3.4691871012204441e-14
240,6.9983707490897492e-15
248,1.4167140650709093e-15
256,2.8762346848298493e-16
